127.0.0.1, 2018-10-26 16:18:20, GET, /, HTTP/1.1, 303, 15.006802
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.248225
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000592
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000523
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000401
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000491
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000699
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2018-10-26 16:18:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000454
127.0.0.1, 2018-10-26 16:18:22, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000423
127.0.0.1, 2018-10-26 16:18:36, GET, /start/, HTTP/1.1, 200, 0.120733
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003716
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002863
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002981
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003082
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002117
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.002147
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005371
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000589
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000736
127.0.0.1, 2018-10-26 16:18:36, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001538
127.0.0.1, 2018-10-26 16:18:37, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001748
127.0.0.1, 2018-10-26 16:18:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2018-10-26 16:18:39, GET, /start/default/index, HTTP/1.1, 200, 0.037863
127.0.0.1, 2018-10-26 16:18:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000507
127.0.0.1, 2018-10-26 16:18:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
